scenario,emission_model,seed,final_N,final_P,final_C,final_T,bme_max,total_emission,total_burned,slashed_total
bull,pid,1000,11934,9.227265,99867606.0,426196160.0,0.009468,176367179.0,303375.9399999999,276196160
bull,pid,1001,11934,16.120498,95978227.0,425654163.0,0.005657,171851409.0,218963.75999999978,275654163
bull,pid,1002,11934,6.373008,98212263.0,424068898.0,0.008535,172606555.0,325379.6500000002,274068898
bull,pid,1003,11934,12.614384,95468386.0,426460702.0,0.006738,172173115.0,244043.51000000018,276460702
bull,pid,1004,11934,20.62113,108842207.0,424195310.0,0.004505,183410593.0,373113.61,274195310
bull,pid,1005,11934,12.231385,96531385.0,425419665.0,0.006284,172188515.0,237507.76000000018,275419665
bull,pid,1006,11934,20.413091,96050190.0,426328939.0,0.005153,172608921.0,229820.57000000033,276328939
bull,pid,1007,11934,12.421836,97762278.0,425512792.0,0.007838,173567627.0,292591.63000000024,275512792
bull,pid,1008,11934,13.958614,107335869.0,422858661.0,0.008051,180496269.0,301693.25000000023,272858661
bull,pid,1009,11934,13.474247,96671779.0,425089527.0,0.005608,171964599.0,203275.35999999967,275089527
bull,pid,1010,11934,18.700289,101510677.0,424609226.0,0.007662,176366185.0,246226.02000000016,274609226
bull,pid,1011,11934,25.085971,111217844.0,426812960.0,0.005203,188333427.0,302680.3700000005,276812960
bull,pid,1012,11934,14.539654,95134109.0,426835233.0,0.006691,172259159.0,289814.46,276835233
bull,pid,1013,11934,12.619026,96006321.0,424892719.0,0.006827,171130143.0,231049.4800000003,274892719
bull,pid,1014,11934,10.218876,96952271.0,424468957.0,0.007613,171675345.0,254132.3899999996,274468957
bull,pid,1015,11934,11.490775,95176273.0,426534296.0,0.006547,172032163.0,321572.15999999933,276534296
bull,pid,1016,11934,15.856621,95071210.0,426680823.0,0.005577,171936263.0,184218.4399999995,276680823
bull,pid,1017,11934,14.156328,95821989.0,427123236.0,0.007019,173220525.0,275328.39999999997,277123236
bull,pid,1018,11934,6.040424,96707274.0,424429449.0,0.009223,171399209.0,262465.23,274429449
bull,pid,1019,11934,8.709505,97986688.0,424976145.0,0.009708,173217921.0,255058.93999999983,274976145
bull,pid,1020,11934,8.376467,111751289.0,425292144.0,0.008202,187403659.0,360237.32999999967,275292144
bull,pid,1021,11934,14.629447,97802363.0,426436177.0,0.008069,174488267.0,249710.7700000003,276436177
bull,pid,1022,11934,9.332185,114947875.0,425203813.0,0.009755,190539617.0,387938.6799999993,275203813
bull,pid,1023,11934,12.274332,109970031.0,424858537.0,0.007426,185129849.0,301322.7000000002,274858537
bull,pid,1024,11934,9.541763,100478042.0,424699336.0,0.006509,175443431.0,266024.8400000003,274699336
bull,pid,1025,11934,16.475618,99648172.0,425408190.0,0.006383,175336513.0,280150.33000000054,275408190
bull,pid,1026,11934,15.755424,95464547.0,426085423.0,0.008068,171850023.0,300048.6799999993,276085423
bull,pid,1027,11934,29.2498,97504380.0,425895846.0,0.005813,173636059.0,235854.56000000032,275895846
bull,pid,1028,11934,15.373572,96722213.0,424517879.0,0.006047,171500149.0,260049.4399999995,274517879
bull,pid,1029,11934,21.347167,98954585.0,425760264.0,0.007326,174981361.0,266507.8399999997,275760264
bull,static,1000,11934,10.185128,102607554.0,423514304.0,0.005418,176424539.0,302664.07000000036,273514304
bull,static,1001,11934,18.114379,98558830.0,427607436.0,0.005273,176424539.0,258255.88999999993,277607436
bull,static,1002,11934,13.087181,98932821.0,427227080.0,0.006337,176424539.0,264621.12999999983,277227080
bull,static,1003,11934,8.827818,101980309.0,424118893.0,0.006007,176424539.0,325319.4,274118893
bull,static,1004,11934,17.590402,101189790.0,425020826.0,0.005379,176424539.0,213905.71000000037,275020826
bull,static,1005,11934,16.855911,102071713.0,424142730.0,0.005496,176424539.0,210078.60000000027,274142730
bull,static,1006,11934,7.303665,99801075.0,426320699.0,0.006104,176424539.0,302748.01999999955,276320699
bull,static,1007,11934,19.326505,100621792.0,425537725.0,0.005494,176424539.0,265004.97000000003,275537725
bull,static,1008,11934,9.378866,102143529.0,423982454.0,0.006372,176424539.0,298539.1899999996,273982454
bull,static,1009,11934,11.400872,100587947.0,425640647.0,0.005666,176424539.0,195928.15000000026,275640647
bull,static,1010,11934,12.755935,100295118.0,425960558.0,0.005546,176424539.0,168845.92999999988,275960558
bull,static,1011,11934,17.546915,100330296.0,425799026.0,0.006006,176424539.0,295199.27999999985,275799026
bull,static,1012,11934,13.826602,103135914.0,423061721.0,0.004978,176424539.0,226886.42,273061721
bull,static,1013,11934,8.655652,91635357.0,434475226.0,0.006417,176424539.0,313938.5400000006,284475226
bull,static,1014,11934,15.507331,103720138.0,422308791.0,0.006903,176424539.0,395592.479999999,272308791
bull,static,1015,11934,24.646223,99385160.0,426741984.0,0.005627,176424539.0,297377.23000000016,276741984
bull,static,1016,11934,15.229277,101662669.0,424529948.0,0.005684,176424539.0,231904.39000000028,274529948
bull,static,1017,11934,5.023091,101599862.0,424571387.0,0.00558,176424539.0,253272.58999999936,274571387
bull,static,1018,11934,19.564881,98944934.0,427183838.0,0.005555,176424539.0,295749.5200000002,277183838
bull,static,1019,11934,15.73953,103275449.0,422774323.0,0.005584,176424539.0,374749.2199999998,272774323
bull,static,1020,11934,9.10044,99185792.0,426893458.0,0.005655,176424539.0,345271.88000000064,276893458
bull,static,1021,11934,11.101823,103103797.0,423080485.0,0.005211,176424539.0,240239.70000000007,273080485
bull,static,1022,11934,10.257422,100746841.0,425404115.0,0.005617,176424539.0,273565.51999999984,275404115
bull,static,1023,11934,17.388854,102346529.0,423814867.0,0.005387,176424539.0,263125.5099999998,273814867
bull,static,1024,11934,7.772105,99138809.0,427100161.0,0.005514,176424539.0,185552.13999999996,277100161
bull,static,1025,11934,7.680807,101596479.0,424571646.0,0.005608,176424539.0,256397.2600000003,274571646
bull,static,1026,11934,46.562884,101390757.0,424825759.0,0.004848,176424539.0,208005.7299999997,274825759
bull,static,1027,11934,8.149531,98726552.0,427455940.0,0.005605,176424539.0,242030.0199999999,277455940
bull,static,1028,11934,16.443648,102399276.0,423713247.0,0.005517,176424539.0,311998.4199999997,273713247
bull,static,1029,11934,9.705289,100371472.0,425785691.0,0.005215,176424539.0,267358.82000000007,275785691
bear,pid,1000,4240,0.076702,245037395.0,415604083.0,0.00369,311024657.0,383206.1600000012,265604083
bear,pid,1001,6596,0.241098,141339750.0,450375593.0,0.002816,241956095.0,240683.58000000025,300375593
bear,pid,1002,4974,0.087364,229628608.0,416966251.0,0.003759,296945422.0,350605.26000000024,266966251
bear,pid,1003,7071,0.344448,128514597.0,433544785.0,0.003186,212271450.0,212092.18999999986,283544785
bear,pid,1004,6476,0.161543,182406509.0,424245592.0,0.003712,257009901.0,357821.1300000005,274245592
bear,pid,1005,4961,0.056107,224151706.0,422562606.0,0.003524,297239455.0,387629.09999999916,272700081
bear,pid,1006,10780,0.677464,122635409.0,478005790.0,0.003173,250893952.0,252739.68000000023,328005790
bear,pid,1007,7477,0.172767,198457134.0,425035545.0,0.003573,273898694.0,405950.4599999995,275035545
bear,pid,1008,5912,0.113099,188130786.0,422396598.0,0.003616,260845810.0,318409.61000000016,272396598
bear,pid,1009,6242,0.194517,166912522.0,425324800.0,0.004179,242511296.0,273975.8900000001,275324800
bear,pid,1010,5511,0.122833,171168556.0,447537458.0,0.003233,269070606.0,364544.50000000023,297537458
bear,pid,1011,5990,0.145232,200156566.0,421008405.0,0.003381,271527699.0,362723.42999999993,271008405
bear,pid,1012,6500,0.267286,176867181.0,425542977.0,0.003108,252696409.0,286279.4799999998,275542977
bear,pid,1013,5977,0.159272,150428253.0,434066790.0,0.00293,234745549.0,250483.96999999988,284066790
bear,pid,1014,7071,0.195497,190760082.0,456630756.0,0.004589,297803485.0,412630.63999999897,306630756
bear,pid,1015,7303,0.279302,129356259.0,437049001.0,0.00321,216667754.0,262499.0199999998,287049001
bear,pid,1016,6887,0.190627,199915767.0,436239067.0,0.004031,286506160.0,351268.02999999997,286239067
bear,pid,1017,7614,0.306423,162000173.0,449192156.0,0.003222,261490874.0,298489.9600000001,299192156
bear,pid,1018,8121,0.460925,148062944.0,428407420.0,0.003085,226719644.0,249291.10000000027,278407420
bear,pid,1019,6485,0.163374,198533602.0,426276653.0,0.00327,275132334.0,322206.65999999957,276276653
bear,pid,1020,6507,0.150729,176043095.0,425871949.0,0.003268,252216294.0,301297.64999999997,275871949
bear,pid,1021,5526,0.166751,175517329.0,446650183.0,0.003526,272515453.0,347932.0800000001,296650183
bear,pid,1022,5288,0.126808,173472812.0,428359708.0,0.003236,252155514.0,323007.7399999998,278359708
bear,pid,1023,8253,0.357896,138780374.0,451309045.0,0.003215,240420906.0,331492.6899999995,301309045
bear,pid,1024,5582,0.155748,254645099.0,414120504.0,0.003719,319183415.0,417881.1600000006,264120504
bear,pid,1025,6050,0.163895,242111644.0,430142568.0,0.004677,322750380.0,496138.61999999994,280142568
bear,pid,1026,3690,0.049244,212803404.0,423609095.0,0.003347,286752823.0,340329.39,273609095
bear,pid,1027,6420,0.189278,167173590.0,426582316.0,0.003143,244030593.0,274735.1400000007,276582316
bear,pid,1028,5021,0.063419,203170193.0,435077115.0,0.004308,288690857.0,443680.2700000011,285077115
bear,pid,1029,4659,0.087183,188217436.0,420097004.0,0.003602,258601743.0,287362.2600000002,270097004
bear,static,1000,8156,0.278353,95064563.0,431102022.0,0.005428,176424539.0,252837.04999999996,281107122
bear,static,1001,2843,0.060382,155314948.0,370069859.0,0.005273,176424539.0,304931.41999999987,220804642
bear,static,1002,1015,0.073247,284060386.0,241128807.0,0.006406,176424539.0,413602.07999999984,91950533
bear,static,1003,706,0.072159,311954922.0,213883153.0,0.008697,176424539.0,586446.62,63883153
bear,static,1004,3446,0.164437,110953636.0,415207318.0,0.005418,176424539.0,243972.13999999984,265226913
bear,static,1005,4821,0.178709,100483327.0,425673855.0,0.005496,176424539.0,258435.70000000022,275682759
bear,static,1006,816,0.065304,279054598.0,246945076.0,0.006138,176424539.0,424193.13999999955,96945730
bear,static,1007,3176,0.119698,117121580.0,408483879.0,0.005421,176424539.0,290386.63000000024,259012555
bear,static,1008,1274,0.049699,237766013.0,287976896.0,0.0055,176424539.0,363675.70999999973,138294833
bear,static,1009,11256,1.283519,89647378.0,436566030.0,0.005676,176424539.0,211114.01,286566030
bear,static,1010,722,0.049418,279511629.0,246425802.0,0.005546,176424539.0,464220.88000000105,96448672
bear,static,1011,1594,0.094102,234878061.0,291022533.0,0.006298,176424539.0,358304.85999999987,141188156
bear,static,1012,1046,0.087453,267992945.0,257829897.0,0.005982,176424539.0,436959.4700000006,107994617
bear,static,1013,7081,0.318955,101453578.0,424738546.0,0.005548,176424539.0,232397.9699999999,274738546
bear,static,1014,957,0.078948,263934087.0,262064091.0,0.005633,176424539.0,426343.5100000001,112064091
bear,static,1015,982,0.030082,299774192.0,226193197.0,0.007404,176424539.0,457133.08000000083,76193197
bear,static,1016,1128,0.127477,287225232.0,238196809.0,0.006101,176424539.0,434142.67999999877,88765147
bear,static,1017,6815,0.39171,102099052.0,424090663.0,0.00559,176424539.0,234806.56,274090663
bear,static,1018,11870,2.006894,64035017.0,462164147.0,0.005555,176424539.0,225357.64000000004,312164147
bear,static,1019,713,0.033154,292211876.0,233205110.0,0.006347,176424539.0,505585.6400000005,83707060
bear,static,1020,1069,0.075886,282240092.0,243825221.0,0.005696,176424539.0,359209.06999999966,93825221
bear,static,1021,1263,0.097663,272845112.0,253195278.0,0.006697,176424539.0,384131.6900000003,103195278
bear,static,1022,674,0.040169,297009059.0,228890480.0,0.007063,176424539.0,499964.0199999998,78915499
bear,static,1023,1660,0.06526,206673369.0,318520505.0,0.006595,176424539.0,357219.45,169393933
bear,static,1024,7053,0.436646,102055447.0,424154886.0,0.005546,176424539.0,214189.03000000023,274154886
bear,static,1025,1268,0.120039,240231214.0,283656589.0,0.005618,176424539.0,374227.74999999994,135819080
bear,static,1026,10749,0.680524,87327370.0,438859649.0,0.004848,176424539.0,237502.45999999947,288859649
bear,static,1027,8769,0.733375,101027336.0,425190303.0,0.005605,176424539.0,206882.36999999985,275190303
bear,static,1028,4127,0.219082,97499525.0,428078068.0,0.006037,176424539.0,288162.78000000055,278636834
bear,static,1029,9956,0.505471,101374862.0,424843449.0,0.005215,176424539.0,206210.4800000002,274843449
competitor,pid,1000,9605,1.663137,65584552.0,501462016.0,0.003852,217407697.0,361129.91,351462016
competitor,pid,1001,9539,1.972454,53039574.0,490339094.0,0.003702,193595513.0,216766.6399999996,340339094
competitor,pid,1002,9908,2.14214,65015041.0,490434449.0,0.003931,205754312.0,304890.0899999999,340434449
competitor,pid,1003,11768,6.352544,40481751.0,499551031.0,0.003186,190244161.0,211351.10999999975,349551031
competitor,pid,1004,10328,1.317117,79492225.0,491834420.0,0.004705,221703888.0,377217.5899999999,341834420
competitor,pid,1005,9186,1.261659,72488903.0,478406851.0,0.003495,201212352.0,316619.84999999974,328406851
competitor,pid,1006,9208,1.259142,64512552.0,490124175.0,0.00377,204953797.0,317021.9000000007,340124175
competitor,pid,1007,10148,2.308554,65651556.0,487533234.0,0.003433,203487447.0,302724.4700000001,337533234
competitor,pid,1008,9670,2.714518,51737983.0,502473916.0,0.003625,204516821.0,304959.13999999996,352473916
competitor,pid,1009,10254,1.885633,56817840.0,496612839.0,0.004187,203708970.0,278310.0999999997,346612839
competitor,pid,1010,10408,1.673022,67400382.0,489558110.0,0.003325,207282393.0,323938.2900000007,339558110
competitor,pid,1011,11412,4.054489,71752243.0,491241412.0,0.003979,213317897.0,324243.50999999966,341241412
competitor,pid,1012,11607,3.352304,49762328.0,508029082.0,0.003518,208091577.0,300137.58999999915,358029082
competitor,pid,1013,9420,1.901125,58949624.0,479642375.0,0.003372,188806347.0,214331.84000000008,329642375
competitor,pid,1014,10111,1.54337,66221105.0,490180619.0,0.003953,206714890.0,313198.4400000003,340180619
competitor,pid,1015,10643,3.365131,40891871.0,501758652.0,0.003024,192920611.0,270052.70000000024,351758652
competitor,pid,1016,10940,1.432237,111700691.0,485347197.0,0.004058,247448275.0,400446.46999999956,335347197
competitor,pid,1017,9981,1.760536,57304503.0,484264486.0,0.003348,191831436.0,262444.2600000003,334264486
competitor,pid,1018,10286,2.207465,77185206.0,486326340.0,0.003654,213885807.0,374208.79999999923,336326340
competitor,pid,1019,10383,2.486914,74110672.0,489282337.0,0.003395,213753207.0,360236.6000000002,339282337
competitor,pid,1020,10679,1.703796,50794211.0,498515143.0,0.003353,199589645.0,280319.9200000002,348515143
competitor,pid,1021,9077,1.844225,57849781.0,489817838.0,0.005586,197949941.0,280019.4800000005,339820193
competitor,pid,1022,9180,1.443094,95938221.0,477003981.0,0.003514,223265353.0,323118.0500000006,327003981
competitor,pid,1023,10221,1.829267,64108872.0,484524841.0,0.003466,198943318.0,309625.3500000005,334524841
competitor,pid,1024,9457,1.867233,80278865.0,492592521.0,0.003729,223209266.0,337904.39,342592521
competitor,pid,1025,8491,0.639036,78923127.0,486549336.0,0.00389,215808128.0,335690.3599999999,336549336
competitor,pid,1026,9436,2.319851,61984205.0,492715042.0,0.003556,205033201.0,334023.55999999976,342715042
competitor,pid,1027,11112,2.147511,47992176.0,499675096.0,0.003591,197945967.0,278707.6300000002,349675096
competitor,pid,1028,8719,0.94774,87641511.0,476159067.0,0.003869,214158783.0,358176.82999999984,326159067
competitor,pid,1029,11794,4.735788,45179175.0,505749111.0,0.004183,201211271.0,283087.5199999999,355749111
competitor,static,1000,11934,5.358905,55716752.0,470528029.0,0.005428,176424539.0,179740.83999999962,320528029
competitor,static,1001,1367,0.04337,276378406.0,249441262.0,0.006675,176424539.0,502745.0999999996,99543371
competitor,static,1002,3231,0.186644,213458764.0,312571331.0,0.006411,176424539.0,394427.05999999924,162571331
competitor,static,1003,7839,1.052861,175771921.0,350300200.0,0.006043,176424539.0,352400.9100000005,200300200
competitor,static,1004,1273,0.058048,267656056.0,258203187.0,0.006545,176424539.0,476757.15,108291708
competitor,static,1005,11934,2.061799,73098196.0,453001419.0,0.005496,176424539.0,324906.7200000003,303001419
competitor,static,1006,3240,0.273987,195981750.0,330076994.0,0.006141,176424539.0,365777.41999999963,180076994
competitor,static,1007,11934,5.292988,71232651.0,454891730.0,0.005422,176424539.0,300140.5599999998,304891730
competitor,static,1008,11934,2.321332,97369566.0,428735135.0,0.0055,176424539.0,319820.45,278735135
competitor,static,1009,11934,4.863097,53888555.0,472365872.0,0.005677,176424539.0,170095.00999999986,322365872
competitor,static,1010,11934,7.443775,65763241.0,460446362.0,0.005546,176424539.0,214918.95000000024,310446362
competitor,static,1011,11934,1.24666,84121418.0,441980040.0,0.006006,176424539.0,323064.0399999999,291980040
competitor,static,1012,779,0.04695,294931104.0,230960849.0,0.006288,176424539.0,532568.4400000002,80960849
competitor,static,1013,11934,4.222309,73955045.0,452194849.0,0.005548,176424539.0,274627.7799999994,302194849
competitor,static,1014,11934,2.770529,81154172.0,444975684.0,0.005633,176424539.0,294665.3100000003,294975684
competitor,static,1015,11534,1.968624,93476607.0,432590763.0,0.005638,176424539.0,357151.46999999986,282590763
competitor,static,1016,8172,0.989879,127765527.0,398294648.0,0.005684,176424539.0,364347.1499999997,248294648
competitor,static,1017,11923,1.405405,75584681.0,450501556.0,0.005591,176424539.0,338284.5400000002,300501556
competitor,static,1018,11924,1.449095,75054273.0,451063866.0,0.005555,176424539.0,306382.92000000057,301063866
competitor,static,1019,11934,2.726694,68087627.0,458076758.0,0.005629,176424539.0,260137.06999999975,308076758
competitor,static,1020,11934,3.670265,66057290.0,460100202.0,0.0057,176424539.0,267029.6199999998,310100202
competitor,static,1021,11934,3.135055,45123634.0,480964433.0,0.005211,176424539.0,336454.70999999996,330964433
competitor,static,1022,1329,0.065822,291489648.0,234427330.0,0.006907,176424539.0,507544.2099999993,84427330
competitor,static,1023,1299,0.087447,274889214.0,251055697.0,0.006265,176424539.0,479610.58999999915,101055697
competitor,static,1024,11934,2.96756,61462502.0,464755198.0,0.005553,176424539.0,206822.08999999944,314755198
competitor,static,1025,2583,0.125228,227934041.0,298067346.0,0.005619,176424539.0,423135.29,148067346
competitor,static,1026,866,0.031891,270612902.0,255159548.0,0.007934,176424539.0,520280.8600000003,105291339
competitor,static,1027,11934,5.803946,65405641.0,460758586.0,0.005605,176424539.0,260295.15000000026,310758586
competitor,static,1028,11934,1.718713,59714161.0,466481263.0,0.005517,176424539.0,229097.61000000077,316481263
competitor,static,1029,11934,3.216395,59480343.0,466713221.0,0.005215,176424539.0,230957.61999999982,316713221
regulatory,pid,1000,11626,1.524132,105130335.0,477271988.0,0.004901,232817856.0,415500.3099999993,327271988
regulatory,pid,1001,9334,1.685478,71916268.0,457482772.0,0.004245,179646103.0,247020.77000000022,307482772
regulatory,pid,1002,10552,3.583675,59395902.0,467688243.0,0.004263,177409829.0,325712.9000000001,317688243
regulatory,pid,1003,9919,1.581899,70309552.0,467341234.0,0.00443,187916965.0,266213.9099999997,317341234
regulatory,pid,1004,9534,2.294838,73658702.0,456651474.0,0.004361,180600048.0,289839.85000000056,306651474
regulatory,pid,1005,8422,0.864177,107984287.0,452994082.0,0.004481,211385913.0,407652.14000000036,302994082
regulatory,pid,1006,11469,4.179747,80248153.0,469665512.0,0.005456,200287568.0,373895.57999999984,319665512
regulatory,pid,1007,10523,1.657155,87478022.0,458976975.0,0.003937,196786494.0,331525.91999999987,308976975
regulatory,pid,1008,9544,0.913985,88203490.0,474675024.0,0.004666,213255403.0,376836.2000000003,324675024
regulatory,pid,1009,11718,6.909031,72010122.0,472526074.0,0.004195,194840753.0,304589.710000001,322526074
regulatory,pid,1010,10046,1.29695,58701175.0,479156938.0,0.00596,188187352.0,329186.8799999998,329156938
regulatory,pid,1011,10367,1.039177,117656639.0,464495662.0,0.005811,232621846.0,469530.3900000001,314495662
regulatory,pid,1012,10993,3.321885,67216367.0,477392780.0,0.003668,194960397.0,351208.96999999974,327392780
regulatory,pid,1013,9060,1.937949,68776891.0,456325961.0,0.004404,175351849.0,248990.49000000002,306325961
regulatory,pid,1014,9711,1.418159,104554233.0,456675699.0,0.004881,211659322.0,429425.8400000009,306675699
regulatory,pid,1015,10236,1.667053,74001667.0,463892147.0,0.004714,188196171.0,302334.29,313892147
regulatory,pid,1016,8831,1.745351,93155052.0,448079305.0,0.004355,191598129.0,363789.6699999999,298079305
regulatory,pid,1017,9087,2.059643,70306447.0,455515506.0,0.004519,176105127.0,283173.22000000015,305515506
regulatory,pid,1018,9682,1.092615,100569442.0,456218052.0,0.003941,207166806.0,379297.3900000013,306218052
regulatory,pid,1019,10066,2.026216,145784901.0,464596444.0,0.004389,260944729.0,563387.33,314596444
regulatory,pid,1020,9372,1.849419,75505664.0,465528651.0,0.004233,191414130.0,379830.86999999994,315528651
regulatory,pid,1021,11343,1.50676,105096788.0,479675454.0,0.004976,235199096.0,426846.14999999915,329675454
regulatory,pid,1022,10222,2.162081,79447484.0,452193438.0,0.004452,181935269.0,294394.55000000034,302193438
regulatory,pid,1023,10940,2.909036,61537587.0,470657969.0,0.00516,182500589.0,305020.24,320657969
regulatory,pid,1024,10563,3.345907,73062373.0,466668781.0,0.004333,190096075.0,364992.34999999974,316668781
regulatory,pid,1025,11389,3.337304,81917828.0,474377041.0,0.004269,206666679.0,371787.61000000034,324377041
regulatory,pid,1026,11587,4.435815,65514025.0,471040903.0,0.004496,186876223.0,321291.33999999956,321040903
regulatory,pid,1027,11857,4.051821,49344826.0,474658425.0,0.004378,174271519.0,268302.3700000006,324658425
regulatory,pid,1028,9207,0.799146,99146674.0,478438326.0,0.004434,228093875.0,508841.050000001,328438326
regulatory,pid,1029,10653,3.321663,69985317.0,465671007.0,0.004228,185941960.0,285645.5500000002,315671007
regulatory,static,1000,11934,3.736633,85370446.0,440732301.0,0.005429,176424539.0,321774.97000000044,290732301
regulatory,static,1001,11934,3.469441,100186180.0,425985746.0,0.005273,176424539.0,252595.3999999998,275985746
regulatory,static,1002,11934,2.020058,100567842.0,425545466.0,0.006417,176424539.0,311214.2200000004,275545466
regulatory,static,1003,11934,2.284671,98027807.0,428096825.0,0.006045,176424539.0,299889.69000000006,278096825
regulatory,static,1004,11435,0.807302,96989044.0,429105341.0,0.005425,176424539.0,330136.91999999934,279105341
regulatory,static,1005,11934,3.092175,102248183.0,423877323.0,0.005496,176424539.0,299015.8699999996,273877323
regulatory,static,1006,11934,3.029611,83964069.0,442101291.0,0.006143,176424539.0,359161.74999999953,292101291
regulatory,static,1007,11934,3.533956,93677931.0,432408381.0,0.005423,176424539.0,338209.96999999863,282408381
regulatory,static,1008,11934,3.505756,100608418.0,425555576.0,0.0055,176424539.0,260527.39999999988,275555576
regulatory,static,1009,11934,4.29618,79223322.0,446870699.0,0.006326,176424539.0,330500.67,296870699
regulatory,static,1010,1582,0.066477,276047539.0,249850159.0,0.005665,176424539.0,526823.4699999988,99850159
regulatory,static,1011,11934,3.353423,97043535.0,429064430.0,0.006006,176424539.0,316556.75000000047,279064430
regulatory,static,1012,11866,1.663785,88443461.0,437592909.0,0.005122,176424539.0,388151.2800000009,287592909
regulatory,static,1013,11934,7.170519,82061000.0,443991944.0,0.005738,176424539.0,371577.54000000056,293991944
regulatory,static,1014,11934,4.30331,101069368.0,425086853.0,0.005633,176424539.0,268300.30000000016,275086853
regulatory,static,1015,11934,4.56765,79637504.0,446448532.0,0.005639,176424539.0,338486.1599999995,296448532
regulatory,static,1016,11934,2.717189,88493679.0,437621021.0,0.005684,176424539.0,309821.74000000034,287621021
regulatory,static,1017,2059,0.156325,275241982.0,250643017.0,0.007277,176424539.0,539522.8599999999,100643017
regulatory,static,1018,10745,2.053902,137818786.0,388210091.0,0.005555,176424539.0,395644.24999999965,238210091
regulatory,static,1019,11934,6.073595,77829504.0,448312792.0,0.005632,176424539.0,282225.68000000005,298312792
regulatory,static,1020,11934,3.948586,100197807.0,425997411.0,0.005703,176424539.0,229303.71000000014,275997411
regulatory,static,1021,11926,1.458573,100258026.0,425921233.0,0.005211,176424539.0,245262.5999999998,275921233
regulatory,static,1022,11934,4.420151,74811264.0,451247879.0,0.005617,176424539.0,365378.94999999995,301247879
regulatory,static,1023,11934,2.764263,90732428.0,435389538.0,0.006294,176424539.0,302555.8800000005,285389538
regulatory,static,1024,11934,2.629918,100409129.0,425762749.0,0.00556,176424539.0,252643.68999999997,275762749
regulatory,static,1025,11934,2.010553,101089304.0,425111561.0,0.00562,176424539.0,223656.41000000038,275111561
regulatory,static,1026,11934,3.114887,101036020.0,425136830.0,0.004848,176424539.0,251671.87999999968,275136830
regulatory,static,1027,11571,2.998188,119427152.0,406609136.0,0.005605,176424539.0,388233.3299999999,256609136
regulatory,static,1028,11934,1.749037,97047149.0,429100907.0,0.005517,176424539.0,276466.17999999947,279100907
regulatory,static,1029,11934,1.376809,106840448.0,419201751.0,0.005287,176424539.0,382322.7099999995,269201751
